date,close,source
2026-06-11,46.939998626708984,yfinance
2026-06-12,48.11000061035156,yfinance
2026-06-15,47.06999969482422,yfinance
2026-06-16,46.72999954223633,yfinance
2026-06-17,45.84000015258789,yfinance
2026-06-18,45.369998931884766,yfinance
2026-06-22,45.36000061035156,yfinance
2026-06-23,46.72999954223633,yfinance
2026-06-24,45.68000030517578,yfinance
2026-06-25,46.06999969482422,yfinance
2026-06-26,46.540000915527344,yfinance
2026-06-29,44.099998474121094,yfinance
2026-06-30,42.34000015258789,yfinance
2026-07-01,41.9900016784668,yfinance
2026-07-02,42.560001373291016,yfinance
