date,close,source
2026-06-11,284.7699890136719,yfinance
2026-06-12,284.80999755859375,yfinance
2026-06-15,286.1199951171875,yfinance
2026-06-16,287.92999267578125,yfinance
2026-06-17,283.82000732421875,yfinance
2026-06-18,278.6099853515625,yfinance
2026-06-22,270.1000061035156,yfinance
2026-06-23,271.6600036621094,yfinance
2026-06-24,273.8800048828125,yfinance
2026-06-25,264.5400085449219,yfinance
2026-06-26,269.760009765625,yfinance
2026-06-29,267.17999267578125,yfinance
2026-06-30,270.30999755859375,yfinance
2026-07-01,269.42999267578125,yfinance
2026-07-02,280.6300048828125,yfinance
