date,close,source
2026-06-11,173.3000030517578,yfinance
2026-06-12,176.35000610351562,yfinance
2026-06-15,176.35000610351562,yfinance
2026-06-16,174.1999969482422,yfinance
2026-06-17,173.10000610351562,yfinance
2026-06-18,177.9499969482422,yfinance
2026-06-19,174.89999389648438,yfinance
2026-06-22,174.5,yfinance
2026-06-23,171.10000610351562,yfinance
2026-06-24,176.0,yfinance
2026-06-25,177.89999389648438,yfinance
2026-06-26,181.6999969482422,yfinance
2026-06-29,180.89999389648438,yfinance
2026-06-30,179.39999389648438,yfinance
2026-07-01,181.0,yfinance
2026-07-02,183.6999969482422,yfinance
2026-07-03,185.3000030517578,yfinance
