date,close,source
2026-06-11,319.04998779296875,yfinance
2026-06-12,322.3900146484375,yfinance
2026-06-15,323.82000732421875,yfinance
2026-06-16,333.1199951171875,yfinance
2026-06-17,330.3800048828125,yfinance
2026-06-18,327.239990234375,yfinance
2026-06-22,326.6000061035156,yfinance
2026-06-23,328.4800109863281,yfinance
2026-06-24,332.2300109863281,yfinance
2026-06-25,330.5199890136719,yfinance
2026-06-26,336.2300109863281,yfinance
2026-06-29,341.6499938964844,yfinance
2026-06-30,343.0899963378906,yfinance
2026-07-01,351.0799865722656,yfinance
2026-07-02,362.1300048828125,yfinance
