date,close,source
2026-06-11,326.010009765625,yfinance
2026-06-12,328.3900146484375,yfinance
2026-06-15,329.82000732421875,yfinance
2026-06-16,337.0899963378906,yfinance
2026-06-17,327.4800109863281,yfinance
2026-06-18,334.2799987792969,yfinance
2026-06-22,326.6199951171875,yfinance
2026-06-23,324.45001220703125,yfinance
2026-06-24,342.8599853515625,yfinance
2026-06-25,345.0,yfinance
2026-06-26,348.8599853515625,yfinance
2026-06-29,350.80999755859375,yfinance
2026-06-30,352.67999267578125,yfinance
2026-07-01,350.8399963378906,yfinance
2026-07-02,357.8999938964844,yfinance
