date,close,source
2026-06-11,27.18000030517578,yfinance
2026-06-14,26.8799991607666,yfinance
2026-06-15,26.579999923706055,yfinance
2026-06-16,26.760000228881836,yfinance
2026-06-17,26.600000381469727,yfinance
2026-06-18,26.520000457763672,yfinance
2026-06-21,26.459999084472656,yfinance
2026-06-22,26.440000534057617,yfinance
2026-06-23,26.3799991607666,yfinance
2026-06-24,26.34000015258789,yfinance
2026-06-25,26.139999389648438,yfinance
2026-06-28,26.600000381469727,yfinance
2026-06-29,26.1200008392334,yfinance
2026-06-30,26.1200008392334,yfinance
2026-07-01,26.1200008392334,yfinance
2026-07-02,26.100000381469727,yfinance
