date,close,source
2026-06-11,37.810001373291016,yfinance
2026-06-12,37.61000061035156,yfinance
2026-06-15,38.13999938964844,yfinance
2026-06-16,37.75,yfinance
2026-06-17,37.439998626708984,yfinance
2026-06-18,38.06999969482422,yfinance
2026-06-22,37.540000915527344,yfinance
2026-06-23,38.31999969482422,yfinance
2026-06-24,39.61000061035156,yfinance
2026-06-25,39.720001220703125,yfinance
2026-06-26,40.20000076293945,yfinance
2026-06-29,39.65999984741211,yfinance
2026-06-30,39.540000915527344,yfinance
2026-07-01,38.150001525878906,yfinance
2026-07-02,39.08000183105469,yfinance
