date,close,source
2026-06-11,55.15999984741211,yfinance
2026-06-12,56.02000045776367,yfinance
2026-06-15,55.869998931884766,yfinance
2026-06-16,56.84000015258789,yfinance
2026-06-17,56.529998779296875,yfinance
2026-06-18,56.20000076293945,yfinance
2026-06-22,57.369998931884766,yfinance
2026-06-23,57.90999984741211,yfinance
2026-06-24,57.72999954223633,yfinance
2026-06-25,58.189998626708984,yfinance
2026-06-26,57.880001068115234,yfinance
2026-06-29,57.880001068115234,yfinance
2026-06-30,56.97999954223633,yfinance
2026-07-01,58.36000061035156,yfinance
2026-07-02,58.72999954223633,yfinance
