date,close,source
2026-06-11,143.72999572753906,yfinance
2026-06-12,144.27000427246094,yfinance
2026-06-15,146.25,yfinance
2026-06-16,146.1199951171875,yfinance
2026-06-17,141.58999633789062,yfinance
2026-06-18,142.02000427246094,yfinance
2026-06-22,140.7100067138672,yfinance
2026-06-23,142.0500030517578,yfinance
2026-06-24,142.27000427246094,yfinance
2026-06-25,139.52000427246094,yfinance
2026-06-26,141.38999938964844,yfinance
2026-06-29,138.67999267578125,yfinance
2026-06-30,135.39999389648438,yfinance
2026-07-01,141.16000366210938,yfinance
2026-07-02,144.22000122070312,yfinance
